наименование,зарплата,опыт,требуемые навыки,ссылка
Швея,"{'from': 60000, 'to': 100000}",От 1 года до 3 лет,"Опыт работы на промышленном оборудовании. - Хорошая скорость. - Аккуратность, внимательность.",https://hh.ru/vacancy/79176371
Швея-портной,"{'from': 50000, 'to': 90000}",От 1 года до 3 лет,"опыт работы от года. - аккуратность, внимательность, точность в работе. - пунктуальность. - умение работать на промышленном оборудовании.",https://hh.ru/vacancy/79503777
Швея-портной,"{'from': 70000, 'to': None}",От 3 до 6 лет,Грамотная русская речь. Пунктуальность.,https://hh.ru/vacancy/79662276
Швея,"{'from': 40000, 'to': 100000}",От 1 года до 3 лет,"Умение работать с разными видами тканей. Знание швейного оборудования. Опыт работы приветствуется, но не обязателен. Аккуратность. Желание развиваться.",https://hh.ru/vacancy/78913204
Швея-портной,"{'from': 80000, 'to': 100000}",От 3 до 6 лет,Владение профессией конструктора/технолога/закройщика станет Вашим большим преимуществом.,https://hh.ru/vacancy/79402289
Швея/технолог-лаборант,"{'from': 80000, 'to': 200000}",От 3 до 6 лет,,https://hh.ru/vacancy/79950988
"Швея-портной (мелкий ремонт одежды), ТРЦ ""Дарья""","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/79927328
Швея-лаборант,"{'from': 60000, 'to': 60000}",От 1 года до 3 лет,"Умение шить (трикотаж в том числе). Опыт работы не менее 1-го года по профилю. Знание технологии швейного производства, швейного...",https://hh.ru/vacancy/79729103
Швея-закройщица/закройщик на мягкую мебель,"{'from': 60000, 'to': 100000}",От 1 года до 3 лет,Аккуратность.,https://hh.ru/vacancy/79465101
Портной-лаборант/Швея,"{'from': 60000, 'to': None}",От 1 года до 3 лет,Опыт работы от 2-х лет. Образование в сфере конструирования и пошива одежды. Аккуратность и внимательность в работе. Ответственность.,https://hh.ru/vacancy/77665280
Швея-портной (Лаборант в эксперементальный цех),"{'from': 60000, 'to': None}",От 3 до 6 лет,"Опыт работы от 3х лет в экспериментальном цехе. Знание технологии пошива. Скорость и качество отшива приветствуется. Качества : внимательность, аккуратность...",https://hh.ru/vacancy/79734889
Швея по коже,"{'from': 60000, 'to': None}",От 1 года до 3 лет,"Аналогичный опыт работы от 1 года. Опыт работы на одноигольной машине челночного стежка с колонковой платформой. Внимательность, ответственность, желание работать.",https://hh.ru/vacancy/78511176
Мастер Ателье/Швея/Портной (Тц Л-153),"{'from': 45000, 'to': None}",Нет опыта,"Образование: не ниже среднего специального (профильное). Навык ремонта, подгонки и корректировки изделия по фигуре. Опыт работы с изделиями из кожи...",https://hh.ru/vacancy/76500590
"Швея-портной (мелкий ремонт одежды, ТРЦ ""Прайм Плаза"")","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/80003506
Портной/швея-универсал (курточные ткани),"{'from': 60000, 'to': 120000}",От 1 года до 3 лет,"Выполнение заказов в указанный срок. Высокое качество работы, точность сборки. Опыт работы на промышленном оборудовании. Образование: средне-специальное. ",https://hh.ru/vacancy/79518738
Швея,"{'from': 65000, 'to': None}",От 1 года до 3 лет,"Знание промышленного универсального и специального швейного оборудования. Владение технологией пошива изделий из ""тяжелых"" спецматериалов, баллистических тканей, спецодежды и средств защиты. ",https://hh.ru/vacancy/78609565
"Швея-портной (мелкий ремонт одежды, м. Калужская)","{'from': 45000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/79373946
Швея-раскройщица / раскройщик на мебельное производство,"{'from': 55000, 'to': 85000}",От 1 года до 3 лет,Навыки в швейном деле. Желание работать.,https://hh.ru/vacancy/79954065
Швея,"{'from': 45000, 'to': None}",От 1 года до 3 лет,"Опыт работы с верхней одеждой, трикотажем, сорочечными тканями, умение шить изделия от начала и до конца, ремонт изделий.",https://hh.ru/vacancy/78972071
Швея-портной,"{'from': None, 'to': 100000}",От 3 до 6 лет,Опыт работы от 3х лет.,https://hh.ru/vacancy/79662178
Швея-портной на производство дизайнерских детских платьев,"{'from': 55000, 'to': 80000}",От 1 года до 3 лет,Умение кроить - является преимуществом.,https://hh.ru/vacancy/79439539
Мастер в автоателье / Швея,,От 3 до 6 лет,,https://hh.ru/vacancy/79690568
Швея,"{'from': 80000, 'to': None}",Более 6 лет,"Полная сборка изделия. Владение работы с прямострочкой, оверлоком, распошивалкой (промышленное оборудование. Владение ВТО. Быстрота и качество. Наличие опыта качественного пошива...",https://hh.ru/vacancy/79187022
"Швея-портной (по мелкому ремонту одежды, м. Пролетарская)","{'from': 46000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/78770904
Мастер ателье / швея,"{'from': 60000, 'to': None}",От 1 года до 3 лет,"Опыт работы от 2-х лет. Умение работать на различных швейных машинах. Коммуникабельность, навык работы в команде.",https://hh.ru/vacancy/79239910
Швея/Швея-портная/портной в ателье при свадебном салоне,"{'from': 40000, 'to': 60000}",От 1 года до 3 лет,Уметь шить.,https://hh.ru/vacancy/79681865
Швея,"{'from': 50000, 'to': None}",От 1 года до 3 лет,"Требуется швея по коже, с умением выполнять ручные операции (загибка, окрашивание уреза и т. д.). Рассмотрим кандидатов работающих на тяжёлых...",https://hh.ru/vacancy/79365308
Швея/кастелянша в гостиницу,"{'from': 40000, 'to': None}",От 1 года до 3 лет,Опыт работы: от 1 года. Умение работать в команде. Опыт работы в гостинице приветствуется.,https://hh.ru/vacancy/79531991
Швея-портная/портной,"{'from': 50000, 'to': 80000}",От 1 года до 3 лет,"Умение работать с трикотажем, с тканями любой сложности. -Умение работать на разном оборудовании: прямострочка, оверлок, распошив. - Добросовестность, внимательность, ответственность, исполнительность...",https://hh.ru/vacancy/79700853
Швея / Мастер ателье / Портной (ТЦ Щелковский),"{'from': 40000, 'to': None}",От 1 года до 3 лет,"Образование: не ниже среднего специального (профильное). Навык ремонта, подгонки и корректировки изделия по фигуре. Опыт работы с изделиями из кожи...",https://hh.ru/vacancy/78442466
Швея,"{'from': 65000, 'to': 65000}",От 1 года до 3 лет,"Среднее специальное образование. Желателен стаж работы по данному направлению. Исполнительность, трудолюбие, дисциплинированность, устойчивое внимание, аккуратность, быстрое и качественное выполнение поставленных...",https://hh.ru/vacancy/79848324
Швея в трикотажный цех,"{'from': 60000, 'to': None}",От 1 года до 3 лет,"Аналогичный опыт работы от 1 года на швейном производстве в трикотажном цехе. Опыт работы на оверлоке, плоскошовной машине, прямострочке. ",https://hh.ru/vacancy/78511227
Швея-лаборант,"{'from': 70000, 'to': None}",Более 6 лет,Опыт работы на промышленном швейном оборудовании. Знание технологии обработки верхней одежды. Внимательность к деталям.,https://hh.ru/vacancy/78972087
"Швея-портной (мелкий ремонт одежды, м. Партизанская)","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/78875181
Швея на производство,"{'from': 44000, 'to': None}",От 1 года до 3 лет,"Опыт работы с изделиями из разных тканей. Опыт работы в потоке, скоростные навыки.",https://hh.ru/vacancy/78042861
Швея-портной на мебельное производство,"{'from': 50000, 'to': None}",Нет опыта,наличие профессионального образования (желательно).  навык работы на промышленном швейном оборудовании.  усидчивость.  аккуратность.  желание развиваться в профессии.  целеустремленность.  возможно без опыта...,https://hh.ru/vacancy/79728825
Швея,,От 1 года до 3 лет,Опыт работы обязателен. Внимательность и аккуратность в исполнении заказов и сроках.,https://hh.ru/vacancy/80239199
Швея,"{'from': 55000, 'to': 120000}",От 1 года до 3 лет,"Опыт работы от 1 года. Пунктуальность, трудолюбие, работа на результат. Готовы принять с минимальным опытом, но с большим желанием работать...",https://hh.ru/vacancy/80239401
Швея-портная/портной,"{'from': 50000, 'to': 80000}",От 1 года до 3 лет,"Умение работать с трикотажем, с тканями любой сложности. -Умение работать на разном оборудовании: прямострочка, оверлок, распошив. - Добросовестность, внимательность, ответственность, исполнительность...",https://hh.ru/vacancy/79700853
Швея / Мастер ателье / Портной (ТЦ Щелковский),"{'from': 40000, 'to': None}",От 1 года до 3 лет,"Образование: не ниже среднего специального (профильное). Навык ремонта, подгонки и корректировки изделия по фигуре. Опыт работы с изделиями из кожи...",https://hh.ru/vacancy/78442466
Швея,"{'from': 65000, 'to': 65000}",От 1 года до 3 лет,"Среднее специальное образование. Желателен стаж работы по данному направлению. Исполнительность, трудолюбие, дисциплинированность, устойчивое внимание, аккуратность, быстрое и качественное выполнение поставленных...",https://hh.ru/vacancy/79848324
Швея в трикотажный цех,"{'from': 60000, 'to': None}",От 1 года до 3 лет,"Аналогичный опыт работы от 1 года на швейном производстве в трикотажном цехе. Опыт работы на оверлоке, плоскошовной машине, прямострочке. ",https://hh.ru/vacancy/78511227
Швея-лаборант,"{'from': 70000, 'to': None}",Более 6 лет,Опыт работы на промышленном швейном оборудовании. Знание технологии обработки верхней одежды. Внимательность к деталям.,https://hh.ru/vacancy/78972087
"Швея-портной (мелкий ремонт одежды, м. Партизанская)","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/78875181
Швея на производство,"{'from': 44000, 'to': None}",От 1 года до 3 лет,"Опыт работы с изделиями из разных тканей. Опыт работы в потоке, скоростные навыки.",https://hh.ru/vacancy/78042861
Швея-портной на мебельное производство,"{'from': 50000, 'to': None}",Нет опыта,наличие профессионального образования (желательно).  навык работы на промышленном швейном оборудовании.  усидчивость.  аккуратность.  желание развиваться в профессии.  целеустремленность.  возможно без опыта...,https://hh.ru/vacancy/79728825
Швея,,От 1 года до 3 лет,Опыт работы обязателен. Внимательность и аккуратность в исполнении заказов и сроках.,https://hh.ru/vacancy/80239199
Швея,"{'from': 55000, 'to': 120000}",От 1 года до 3 лет,"Опыт работы от 1 года. Пунктуальность, трудолюбие, работа на результат. Готовы принять с минимальным опытом, но с большим желанием работать...",https://hh.ru/vacancy/80239401
Швея-портная/портной,"{'from': 50000, 'to': 80000}",От 1 года до 3 лет,"Умение работать с трикотажем, с тканями любой сложности. -Умение работать на разном оборудовании: прямострочка, оверлок, распошив. - Добросовестность, внимательность, ответственность, исполнительность...",https://hh.ru/vacancy/79700853
Швея / Мастер ателье / Портной (ТЦ Щелковский),"{'from': 40000, 'to': None}",От 1 года до 3 лет,"Образование: не ниже среднего специального (профильное). Навык ремонта, подгонки и корректировки изделия по фигуре. Опыт работы с изделиями из кожи...",https://hh.ru/vacancy/78442466
Швея,"{'from': 65000, 'to': 65000}",От 1 года до 3 лет,"Среднее специальное образование. Желателен стаж работы по данному направлению. Исполнительность, трудолюбие, дисциплинированность, устойчивое внимание, аккуратность, быстрое и качественное выполнение поставленных...",https://hh.ru/vacancy/79848324
Швея в трикотажный цех,"{'from': 60000, 'to': None}",От 1 года до 3 лет,"Аналогичный опыт работы от 1 года на швейном производстве в трикотажном цехе. Опыт работы на оверлоке, плоскошовной машине, прямострочке. ",https://hh.ru/vacancy/78511227
Швея-лаборант,"{'from': 70000, 'to': None}",Более 6 лет,Опыт работы на промышленном швейном оборудовании. Знание технологии обработки верхней одежды. Внимательность к деталям.,https://hh.ru/vacancy/78972087
"Швея-портной (мелкий ремонт одежды, м. Партизанская)","{'from': 42000, 'to': None}",От 1 года до 3 лет,"Опыт работы с мужской одеждой от 1 года (швея, портной и т.д.). Опыт работы на машинке с оверлоком. Аккуратность.",https://hh.ru/vacancy/78875181
Швея на производство,"{'from': 44000, 'to': None}",От 1 года до 3 лет,"Опыт работы с изделиями из разных тканей. Опыт работы в потоке, скоростные навыки.",https://hh.ru/vacancy/78042861
Швея-портной на мебельное производство,"{'from': 50000, 'to': None}",Нет опыта,наличие профессионального образования (желательно).  навык работы на промышленном швейном оборудовании.  усидчивость.  аккуратность.  желание развиваться в профессии.  целеустремленность.  возможно без опыта...,https://hh.ru/vacancy/79728825
Швея,,От 1 года до 3 лет,Опыт работы обязателен. Внимательность и аккуратность в исполнении заказов и сроках.,https://hh.ru/vacancy/80239199
Швея,"{'from': 55000, 'to': 120000}",От 1 года до 3 лет,"Опыт работы от 1 года. Пунктуальность, трудолюбие, работа на результат. Готовы принять с минимальным опытом, но с большим желанием работать...",https://hh.ru/vacancy/80239401
